FileName,fsin,SNR_dB
SES_fclk_1000_kHz__Wg_16_Ww_3_DF_16_AS_15.csv,2929.6875,62.08484296
SES_fclk_1000_kHz__Wg_16_Ww_3_DF_16_AS_31.csv,2929.6875,67.72129368
SES_fclk_1000_kHz__Wg_16_Ww_3_DF_1_AS_15.csv,2929.6875,0
SES_fclk_1000_kHz__Wg_16_Ww_3_DF_1_AS_31.csv,2929.6875,0
SES_fclk_1000_kHz__Wg_16_Ww_3_DF_32_AS_15.csv,2929.6875,37.06250971
SES_fclk_1000_kHz__Wg_16_Ww_3_DF_32_AS_31.csv,2929.6875,44.08023381
SES_fclk_1000_kHz__Wg_16_Ww_4_DF_16_AS_15.csv,2929.6875,69.50243616
SES_fclk_1000_kHz__Wg_16_Ww_4_DF_16_AS_31.csv,2929.6875,70.90373745
SES_fclk_1000_kHz__Wg_16_Ww_4_DF_1_AS_15.csv,2929.6875,0
SES_fclk_1000_kHz__Wg_16_Ww_4_DF_1_AS_31.csv,2929.6875,0
SES_fclk_1000_kHz__Wg_16_Ww_4_DF_32_AS_15.csv,2929.6875,57.00985993
SES_fclk_1000_kHz__Wg_16_Ww_4_DF_32_AS_31.csv,2929.6875,64.18738386
SES_fclk_1000_kHz__Wg_16_Ww_5_DF_16_AS_15.csv,2929.6875,70.03128885
SES_fclk_1000_kHz__Wg_16_Ww_5_DF_16_AS_31.csv,2929.6875,71.30641848
SES_fclk_1000_kHz__Wg_16_Ww_5_DF_1_AS_15.csv,2929.6875,0
SES_fclk_1000_kHz__Wg_16_Ww_5_DF_1_AS_31.csv,2929.6875,0
SES_fclk_1000_kHz__Wg_16_Ww_5_DF_32_AS_15.csv,2929.6875,68.40267538
SES_fclk_1000_kHz__Wg_16_Ww_5_DF_32_AS_31.csv,2929.6875,68.6825082
SES_fclk_1000_kHz__Wg_8_Ww_3_DF_16_AS_15.csv,2929.6875,53.03366693
SES_fclk_1000_kHz__Wg_8_Ww_3_DF_16_AS_31.csv,2929.6875,54.54861403
SES_fclk_1000_kHz__Wg_8_Ww_3_DF_1_AS_15.csv,2929.6875,0
SES_fclk_1000_kHz__Wg_8_Ww_3_DF_1_AS_31.csv,2929.6875,0
SES_fclk_1000_kHz__Wg_8_Ww_3_DF_32_AS_15.csv,2929.6875,38.21165355
SES_fclk_1000_kHz__Wg_8_Ww_3_DF_32_AS_31.csv,2929.6875,42.46943029
SES_fclk_1000_kHz__Wg_8_Ww_4_DF_16_AS_15.csv,2929.6875,55.14481166
SES_fclk_1000_kHz__Wg_8_Ww_4_DF_16_AS_31.csv,2929.6875,53.21294946
SES_fclk_1000_kHz__Wg_8_Ww_4_DF_1_AS_15.csv,2929.6875,0
SES_fclk_1000_kHz__Wg_8_Ww_4_DF_1_AS_31.csv,2929.6875,0
SES_fclk_1000_kHz__Wg_8_Ww_4_DF_32_AS_15.csv,2929.6875,49.65066476
SES_fclk_1000_kHz__Wg_8_Ww_4_DF_32_AS_31.csv,2929.6875,50.29894838
SES_fclk_1000_kHz__Wg_8_Ww_5_DF_16_AS_15.csv,2929.6875,49.46467011
SES_fclk_1000_kHz__Wg_8_Ww_5_DF_16_AS_31.csv,2929.6875,48.61299837
SES_fclk_1000_kHz__Wg_8_Ww_5_DF_1_AS_15.csv,2929.6875,0
SES_fclk_1000_kHz__Wg_8_Ww_5_DF_1_AS_31.csv,2929.6875,0
SES_fclk_1000_kHz__Wg_8_Ww_5_DF_32_AS_15.csv,2929.6875,47.70551451
SES_fclk_1000_kHz__Wg_8_Ww_5_DF_32_AS_31.csv,2929.6875,45.72904498
