Filter,Wg,Ww,DF,AS,Power (µW)
CIC,,,200,6,6.98
CIC,,,100,6,9.38
CIC,,,50,6,12.85
CIC,,,50,6,13.01
CIC,,,32,6,29.77
CIC,,,50,6,12.96
CIC,,,50,5,11.00
CIC,,,50,4,8.99
CIC,,,50,3,6.98
CIC,,,50,2,5.20
CIC,,,50,1,2.96
CIC,,,32,1,5.25
CIC,,,32,2,10.45
CIC,,,32,3,15.30
CIC,,,32,4,20.11
CIC,,,32,5,25.19
CIC,,,32,6,30.16
SES,16,4,100,6,2.12
SES,16,4,100,5,2.12
SES,16,4,100,4,2.12
SES,16,4,100,3,2.07
SES,16,4,100,2,2.07
SES,16,4,100,1,2.07
SES,16,4,50,6,2.12
SES,8,4,50,6,2.07
SES,16,6,50,6,2.35
SES,16,8,50,6,3.52
SES,16,7,50,6,2.63
SES,16,5,50,6,2.18
SES,16,3,50,6,2.07
SES,16,2,50,6,2.01
